size,CSF,density,settling,particle_type,velocity_goral,velocity_yu,velocity_dietrich
2.4741352218641645e-05,0.5369371063889404,1071.7356541274646,settling,fragment,1.7839817824649388e-05,1.9982158408731065e-05,1.7215164266845325e-05
3.9280540816096106e-05,0.4637886780918302,1021.3732969152312,settling,fragment,1.3395236019551586e-05,1.4478746437758765e-05,1.2396721560056574e-05
3.447107357199173e-05,0.422092350177677,1320.4395618724536,settling,fragment,0.00015387334447208016,0.00016490815643940222,0.00015632691963006403
4.5032557232057865e-05,0.6393357526687651,1037.3466423574523,settling,fragment,3.0718580525642456e-05,3.618553112274843e-05,3.370320379767797e-05
5.533514473884783e-05,0.4379389101215978,1093.5501537886169,settling,fragment,0.00011567272626970708,0.00012529712005945434,0.00012015094230797848
2.227328868287462e-05,0.4264657293143036,1135.0371345971057,settling,fragment,2.7206468423441847e-05,2.8819993713529468e-05,2.4515323905818157e-05
0.0001138615605154,0.4824974744193488,969.1188521111252,rising,fragment,-0.0001607324068471393,-0.00017997599680134258,-0.0001767627266282462
9.925963085995932e-05,0.5794484560999552,1209.3144623475755,settling,fragment,0.0008144331809991446,0.0009683509015977761,0.0009299581865422939
0.0001802977947501,0.4250632949887167,1119.8597682860586,settling,fragment,0.0014961598709197815,0.001657889021935215,0.0014780357332147204
0.0001123755509208,0.5402991455544036,1099.5104856421788,settling,fragment,0.000498945409461106,0.0005809349037511355,0.0005641141365228365
0.0001333208704403,0.529194645139211,1070.236262832499,settling,fragment,0.0004945659493528162,0.0005737498430892603,0.0005537829558830732
0.0001042472742859,0.3007262174284058,1046.8624613479024,settling,fragment,0.000204228509376134,0.00020347213673509328,0.00017914057789401757
0.000207308654867,0.1601123483778728,1142.7343605547549,settling,fiber,0.004379039033657572,0.0019943413264997285,0.0007976691361717841
4.363257141380268e-05,0.193647068122144,1143.1878401497318,settling,fiber,0.0007393831226781541,9.71292697998071e-05,6.025575201813438e-05
2.308409644298258e-05,0.3141632058447102,987.036190503606,rising,fragment,-2.8101717420086423e-06,-2.7254036316160804e-06,-1.711020852267965e-06
4.550269251358832e-05,0.6442361889113676,1070.0628344227946,settling,fragment,5.875093271944495e-05,6.963934531546798e-05,6.684531790553179e-05
0.0005670057247231,0.4848666666685683,1299.7620107692396,settling,fragment,0.02240553543251632,0.022108303798168,0.019325922475163317
2.794956163862375e-05,0.1990831787436736,986.0580826411076,rising,fiber,-8.418608152144244e-05,-3.845014459202828e-06,-1.8295939609641142e-06
5.025230778147558e-05,0.3272143587582292,1699.5835809205744,settling,fragment,0.0007052158396357717,0.0007211008465125001,0.0006524731323308587
4.2393877601143224e-05,0.4595418839342621,914.0702248128298,rising,fragment,-6.25478193300475e-05,-6.813148371386385e-05,-6.393828624005215e-05
0.0002036487845919,0.6476175925521837,971.2321282239752,rising,fragment,-0.00046982758042156625,-0.0005752346427023114,-0.0005485495526041079
0.0001069171245262,0.3142134315787925,1099.612352942847,settling,fragment,0.0004529566700347934,0.00045989382588487694,0.0004088722340033474
2.2029607394417604e-05,0.5511651515262211,1130.5817464852594,settling,fragment,2.5738401534842902e-05,2.905944548863124e-05,2.553199354179068e-05
2.633467551730914e-05,0.1213093274271595,1074.5399376043956,settling,fiber,0.00026046438761866803,1.6234547834857005e-05,
9.78339258974486e-05,0.6668661581920968,921.1479678635474,rising,fragment,-0.0003050147082192952,-0.0003680822487128588,-0.00036349569768354833
0.000121410489142,0.5665832629267348,1180.3790907749817,settling,fragment,0.0010414305112488127,0.0012359545357579988,0.0011641132699363953
5.9948316904138296e-05,0.6723060211207502,1245.8808001237535,settling,fragment,0.00036394690678952235,0.0004316944950809655,0.0004280430633068257
3.4742868324005276e-05,0.5176409333326607,1228.8875564511711,settling,fragment,0.00011177195092746314,0.00012576552930045398,0.00012140560819138417
2.0201410670653176e-05,0.5827449922980796,1089.083401403916,settling,fragment,1.4775155848713358e-05,1.6855393041176845e-05,1.4177826904819469e-05
0.0001272827693344,0.6597905726542707,1098.0115555983837,settling,fragment,0.0006272133824335894,0.0007702656228053633,0.0007397996151200077
2.1531218483524195e-05,0.2486195356701669,1163.2208762876724,settling,fragment,3.072661123842194e-05,2.8455693657424233e-05,1.9439441848537536e-05
3.562375892400392e-05,0.2581386466053676,1251.9507461871276,settling,fragment,0.00012927838038608573,0.0001223924430432545,9.66949361705531e-05
0.000203299260725,0.3843786629259242,1450.5390977722193,settling,fragment,0.006554155294868843,0.006870664369564359,0.005685725186040046
0.00062181421692,0.381843944448677,1229.763740467567,settling,fragment,0.02059868754797629,0.01914486582315603,0.016536549341812475
4.173386238106825e-05,0.5531425666991827,1118.6974797995877,settling,fragment,8.366468547451664e-05,9.564035748386777e-05,9.240843681209984e-05
5.297530111280571e-05,0.4314467146484187,1212.5578072256696,settling,fragment,0.00024005874501704624,0.0002605386410298221,0.0002519611156197965
0.0001460910256411,0.3863322952919482,1071.5250218742233,settling,fragment,0.0006020168662143936,0.0006472971816296203,0.0005974344055502299
2.430457316059665e-05,0.448822849346891,1327.1136432380629,settling,fragment,7.832242826886292e-05,8.462438672238073e-05,7.791852125736223e-05
3.593418184658983e-05,0.4819468546098794,1403.4193705289265,settling,fragment,0.00021020564323263673,0.00023351870060142244,0.00022770874999593447
